Country Code;Año;Valor;Indicator Code
ABW;1990;0.0;TX.VAL.TECH.MF.ZS
ABW;1991;0.0;TX.VAL.TECH.MF.ZS
ABW;1992;0.0;TX.VAL.TECH.MF.ZS
ABW;1993;0.0;TX.VAL.TECH.MF.ZS
ABW;1994;0.0;TX.VAL.TECH.MF.ZS
ABW;1995;0.0;TX.VAL.TECH.MF.ZS
ABW;1996;0.0;TX.VAL.TECH.MF.ZS
ABW;1997;0.0;TX.VAL.TECH.MF.ZS
ABW;1998;0.0;TX.VAL.TECH.MF.ZS
ABW;1999;0.0;TX.VAL.TECH.MF.ZS
ABW;2000;0.0;TX.VAL.TECH.MF.ZS
ABW;2001;0.0;TX.VAL.TECH.MF.ZS
ABW;2002;0.0;TX.VAL.TECH.MF.ZS
ABW;2003;0.0;TX.VAL.TECH.MF.ZS
ABW;2004;0.0;TX.VAL.TECH.MF.ZS
ABW;2005;0.0;TX.VAL.TECH.MF.ZS
ABW;2006;0.0;TX.VAL.TECH.MF.ZS
ABW;2007;0.0;TX.VAL.TECH.MF.ZS
ABW;2008;0.0;TX.VAL.TECH.MF.ZS
ABW;2009;4.01259892391419;TX.VAL.TECH.MF.ZS
ABW;2010;4.13079661839726;TX.VAL.TECH.MF.ZS
ABW;2011;4.79098828956432;TX.VAL.TECH.MF.ZS
ABW;2012;11.2591812170153;TX.VAL.TECH.MF.ZS
ABW;2013;5.14004404663994;TX.VAL.TECH.MF.ZS
ABW;2014;7.32268827718477;TX.VAL.TECH.MF.ZS
ABW;2015;4.96898579074605;TX.VAL.TECH.MF.ZS
ABW;2016;4.04239497515666;TX.VAL.TECH.MF.ZS
ABW;2017;6.64041582516023;TX.VAL.TECH.MF.ZS
ABW;2018;8.51673658555146;TX.VAL.TECH.MF.ZS
ABW;2019;4.95280280127981;TX.VAL.TECH.MF.ZS
ABW;2020;6.75665142917031;TX.VAL.TECH.MF.ZS
ABW;2021;0.0;TX.VAL.TECH.MF.ZS
ABW;1990;0.0;TX.VAL.TECH.CD
ABW;1991;0.0;TX.VAL.TECH.CD
ABW;1992;0.0;TX.VAL.TECH.CD
ABW;1993;0.0;TX.VAL.TECH.CD
ABW;1994;0.0;TX.VAL.TECH.CD
